cancer_project	cancer_type_abbr	driver_gene
Pheochromocytoma_and_paraganglioma(TCGA,US)	PCPG	UTY, NLGN4Y, TMSB4Y, HLA-DRB5, HSFY2
Prostate_adenocarcinoma(TCGA,US)	PRAD	GSTM1, HLA-DRB5, SIRPB1, KIFC2, SLC7A13, SLC39A4, HNF4G, TMEM249, FOXH1, SPATC1, PABPC1, OTUD6B, CHMP4C, FBXO43, IMPA1, CCNE2, SLCO5A1
Rectum_adenocarcinoma(TCGA,US)	READ	TMTC4, GTF3A, GSTM1, GGT7, CRYL1, ARL11, IL17D, SERP2, PDX1, PYCR3, LY6E, RHPN1, BOP1, SPERT, RECQL4, TMEM255B, MFSD3, F10, POFUT1, PRPF6, ZSWIM3, EIF6, TLDC2, HNF4A, TOMM34, ATP9A, CPNE1, PLAGL2, FITM2, SPATA25, MAP1LC3A, SLC13A3, NEURL2, R3HDML, PABPC1L, DUSP15, CDH4, ID1, PTP4A3, COL9A3, TNNC2
Sarcoma(TCGA,US)	SARC	GSTM1, MDM2, CTDSP2, TARS, TSPAN31, EEF1AKMT3, TOP3A, METTL1, LLGL1, CDK4, RAD54B, COPS3, FLCN, FRS2, C1orf112, YEATS4, CCT2, ZNF286A, MTBP, OS9, MAPK7, TSFM, TRIO, TRIP13, SMCR8, AVIL, GID4, ZNF287, GORAB, CENPL, NUF2, ELAC2, TBPL1, ALKBH5, MIEF2, POGK, NCOR1, TADA1, ZNF823, C17orf51, SHMT1, TOM1L2, TONSL, AKAP10, FLII, PEX3, PRPSAP2, MAP2K4, DRC3, DEPDC1, ALDH3A2, PIGL, FUCA2, CEBPG, FHAD1, NUP107, COX10, TMEM65, ZNF18, LRP3, SLC35E3, ULK2, GGH, ARHGAP44, SAMD4B, LTV1, PHACTR2, NATD1, CPM, RAB3IP, PRC1, BLZF1, LRRC75A, ANKRD33B, REPS1, ATP23, AURKB, FAM126A, CNOT2, CCNE1, SQLE, SCRN1, HLA-DRB5, SLC47A1, MDM1, SCO1, EPN2, HELZ2, CENPV, CTH, B9D2, URGCP-MRPS24, ADORA2B, FAAP24, WDR62, CREB5, POP4, CYP27B1, MPP6, TAB2, CPSF6, RNF112, PROSER3, IQGAP3, MLLT11, PRRC2C
Skin_cutaneous_melanoma(TCGA,US)	SKCM	XRCC2, LAPTM4B, NUDCD1, CSPP1, VCPIP1, ARL17B, ZNF704, OTUD6B, CALU, IRF4, ASAP1, TPST1, UTP23, PHACTR1, PPFIA4, FOXF2, GCNT2, DCST1
Stomach_adenocarcinoma(TCGA,US)	STAD	MCM8, GSTM1, HLA-DRB5, CDC25B, LZTS3, TMEM184A, SUB1, ZNF131, SMOX, TRIB3, SKP2, NINL, RPL37, C5orf34, TRIP13, PLOD3, AP1S1, BRIX1, JPH1, GATA4, ATP11A, FDFT1, TMEM74B, CCNE1, POP4, NEIL2, EXOC3-AS1, FAM86B1, URI1, SPEF2, C19orf12, GGH, NKD2, LMTK2, SEM1, AMACR, DSCC1, HNF4A, UBE2C, RECQL4, POFUT1, PABPC1L, PLAGL2, TLDC2, FOXA2, SALL4, L3MBTL1, SPATA25, MAPK15, MAGEF1, DNMT3B, ARPC1A, RBBP8NL, CDH17, ECE2, R3HDML, TNNC2, SMURF1, GRB7, PDAP1, ERBB2, HMGCS1, SLC17A9, BAIAP2L1, ARPC1B, TAF6, MCM7, MIEN1, ZKSCAN1, SLC39A4, PGAP3, UFSP1, DUSP15, BMP7, COL9A3, WFDC10B, BUD31, BRI3, STARD3, ZNF3, WFDC13, AGFG2, ACTRT3, KCNS1, ANKIB1, HORMAD1
Testicular_germ_cell_tumor(TCGA,US)	TGCT	GSTM1, LRRC37A, CACNA1C, ATXN7L1, MLF2, WBP11, ERGIC2, IPO8, RAD51AP1, ATN1, GAPDH, FOXM1, MRPL51, NCAPD2, TSPAN9, MGST1, TPI1, YBX3, PLEKHG6, ZNF384, STRAP, PHB2, MRPS35, RASSF8, ARNTL2, STYK1, MAGOHB, P3H3, ALG10, TM7SF3, SCNN1A, LDHB, PLEKHA5, LRP6, DPPA3, C12orf57, AEBP2, TNFRSF1A, FBXL14, NTF3, PRB3, STK38L, TMTC1, GDF3, CLSTN3, CDCA3, FKBP4, CD9, EPS8, DDX47, PPFIBP1, PKP2, SLC2A3, WNT5B, GPR162, HEBP1, PTMS, GPR19, EMP1, BCAT1, H2AFJ, KRAS, LRTM2, TAS2R20, FAR2, KCNA5, APOLD1, BICD1, FGF23, TSPAN11, RERG, ENO2, TAS2R14, C2CD5, FAM90A1, GNB3, TAS2R31, PRMT8, ETNK1, SOX5, TMEM52B, ZNF716, HIST4H4, IAPP, B4GALNT3, KLRG2, ZNF727, FGF6, TAS2R50, OLR1, LMO3, SMCO3, LZTS1, CASTOR2, PDE3A, SCN8A, TAS2R43, SLCO1B1, RPS4Y2
Thyroid_carcinoma(TCGA,US)	THCA	GSTM1, SIRPB1, HLA-DRB5
Thymoma(TCGA,US)	THYM	GSTM1, HLA-DRB5
Uterine_corpus_endometrial_carcinoma(TCGA,US)	UCEC	GINS4, HLA-DRB5, C1orf115, LRRC37A, FGF12, NDRG1, EPPK1, MROH6, MYT1, LY6K, GSTT2B, TMEM249, CCNE2, SIRPB1, WDR53, TMEM41A, RFC4, MRGBP, GORAB, TDRKH, RORC, C2CD4D, ATAD2, PRKCI, SIPA1L2, TPX2, CREB3L4, ECE2, ZNF572, SQLE, TLR5, GOLT1A, ACTRT3, NENF, PIGR, PFKFB2, DCST1, ECT2, HRASLS, TRIM46, PDRG1, IGF2BP2, HELZ2, MYC, NOL4L, PFDN4, FAM84B, LAMP3, RPL39L, TNFSF10, MRPL47, MLF1, DCST2, MB21D2, SERTAD4, BECN2, LENEP, FBXO43, MTSS1, RTP4, SEC16B, DUSP15, RBM38, BNIPL, MELTF, AVPR1B, FMO5, HM13, BMP7, ZDHHC19, MAP6D1, THEM5, PLAGL2, FAM110B, OPRL1, PLAG1, SYT2, KCNMB3
Uterine_carcinosarcoma(TCGA,US)	UCS	DCAF13, ZNF529, HOOK3, EPHB3, PTGIS, IGF2BP2, EHHADH, RIDA, KMT2B, OTUB1, C19orf12, POP4, TM9SF4, POFUT1, ZNF536, LIN37
Uveal_melanoma(TCGA,US)	UVM	JARID2, VPS13B, CARMIL1, C8orf33, DERL1, DECR1, ENY2, LAPTM4B, PYCR3, NDUFB9, CHD7, DGAT1, ADCK5, SPIDR, RECQL4, CYC1, EXOSC4, DCAF13, E2F3, RNF139, NSMAF, SLC52A2, ASAP1, C8orf82, RMDN1, AZIN1, DENND3, KLHL38, CEBPD, PRKDC, TCEA1, MED20, ELOC, PARP10, PTP4A3, PXDC1, ATAT1, MFSD3, RIDA, MRPL13, COPS5, RAB2A, TMEM70, C8orf76, NCOA2, TRAM1, MRPL15, UBR5, LYN, MCM4, MRPS28, ZBTB12, NAPRT, THEM6, TXNDC5, VCPIP1, EMC2, UBE2V2, TFAP2A, UTP23, TERF1, SHARPIN, FAM49B, FABP5, UBE2W, MTFR1, ARFGEF1, DEPTOR, JPH1, ZHX1-C8orf76, FAM50B, TGS1, WASHC5, NBN, TMEM68, E2F5, MTERF3, MTDH, YTHDF3, RNF19A, RNF144B, LACTB2, IMPA1, TSPYL5, CNPY3, SERPINB9, GRINA, TAF2, TMEM64, HSD17B8, NIPAL2, ZNF311, GPAA1, BOP1, LYPLA1, ZNF391, SQLE, SLC39A4, HIST1H2AC, CSPP1, MTBP, ARMC1, LY6E, CUL7, PTK7, ANXA13, ATAD2, GEM, FAM91A1, FBXO32, PPT2, ADGRB1, CD83, GPR20, MYLK4, LY6G5C, SCX, ZSCAN31, RRM2B, CCNE2, OXR1, SLCO5A1
